run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
26292,TC,GD,3,15,0.835454,0.641478,0.15761,4,3,22,22,54,225
26293,TC,GD,7,10,0.907326,0.42518,0.212141,4,4,78,78,54,400
26294,TC,GD,3,5,0.91731,0.628081,0.221374,2,2,71,71,54,245
26295,TC,GD,7,15,0.824965,0.550354,0.191091,7,3,41,0,62,285
26296,TC,GD,3,20,0.984772,0.559037,0.273663,13,4,249,249,54,3540
26297,TC,GD,5,15,0.915626,0.452296,0.130157,11,3,9,0,63,135
26298,TC,GD,5,15,0.976474,0.574486,0.176525,6,3,44,36,75,750
26299,TC,GD,7,10,0.950366,0.555945,0.102743,12,4,6,6,54,1340
26300,TC,GD,5,5,0.841317,0.436405,0.239542,7,3,123,123,54,985
26301,TC,GD,5,5,0.963109,0.621567,0.187806,12,2,36,0,63,190
26302,TC,GD,5,15,0.994721,0.668591,0.283243,3,3,191,191,54,780
26303,TC,GD,7,10,0.939368,0.642032,0.117076,10,4,5,5,54,900
26304,TC,GD,3,10,0.923772,0.665436,0.204156,9,4,84,84,54,1070
26305,TC,GD,7,15,0.982465,0.433442,0.282924,11,4,245,245,54,2415
26306,TC,GD,5,15,0.810825,0.633359,0.24581,5,3,113,85,63,660
26307,TC,GD,3,20,0.859084,0.662857,0.154575,6,2,55,0,64,480
26308,TC,GD,7,20,0.848724,0.551516,0.262273,1,2,202,49,57,1080
26309,TC,GD,5,10,0.949821,0.436707,0.203302,13,3,53,53,54,3280
26310,TC,GD,3,15,0.913372,0.504919,0.239684,6,4,144,144,54,1035
26311,TC,GD,5,5,0.814,0.401165,0.164075,12,3,30,30,54,1665
26312,TC,GD,5,20,0.837913,0.522098,0.105605,4,3,9,0,59,100
26313,TC,GD,7,10,0.868156,0.579699,0.110635,12,3,5,0,57,30
26314,TC,GD,7,10,0.882843,0.52214,0.116241,14,2,5,0,62,90
26315,TC,GD,5,5,0.908096,0.576689,0.257238,8,2,153,153,54,1975
26316,TC,GD,7,5,0.93267,0.68252,0.2378,13,3,121,121,54,2085
26317,TC,GD,5,5,0.932132,0.513959,0.151601,10,3,11,11,54,1025
26318,TC,GD,7,5,0.997417,0.590948,0.232426,9,4,134,134,54,625
26319,TC,GD,7,15,0.987716,0.511255,0.267823,8,3,166,0,73,1140
26320,TC,GD,5,10,0.813474,0.475272,0.174804,15,2,41,0,64,340
26321,TC,GD,7,5,0.98737,0.589374,0.286731,1,2,154,154,54,280
26322,TC,GD,7,20,0.925966,0.688572,0.266064,5,4,122,122,54,620
26323,TC,GD,7,20,0.921032,0.576918,0.171567,9,3,42,0,61,420
26324,TC,GD,7,20,0.963957,0.418227,0.256705,10,4,141,141,54,2560
26325,TC,GD,7,5,0.942816,0.681644,0.114327,9,3,3,3,54,810
26326,TC,GD,5,10,0.871706,0.478125,0.264014,2,3,144,144,54,320
26327,TC,GD,5,10,0.910804,0.431977,0.218765,3,2,82,0,63,550
26328,TC,GD,7,5,0.980879,0.613725,0.267229,13,2,164,0,77,1320
26329,TC,GD,7,5,0.989159,0.648808,0.283448,12,3,221,221,54,2000
26330,TC,GD,5,20,0.826279,0.505446,0.21218,12,3,102,0,64,580
26331,TC,GD,3,20,0.957243,0.458534,0.11588,7,2,22,0,60,320
26332,TC,GD,3,5,0.828256,0.614675,0.142287,9,4,9,9,54,125
26333,TC,GD,5,5,0.923989,0.554788,0.129339,5,4,4,4,54,50
26334,TC,GD,7,5,0.865539,0.476455,0.205246,8,3,42,42,54,935
26335,TC,GD,3,20,0.892733,0.624305,0.166364,2,2,52,0,63,520
26336,TC,GD,7,15,0.972692,0.520756,0.122739,1,3,17,0,57,150
26337,TC,GD,5,10,0.976517,0.543032,0.158965,3,2,13,0,63,190
26338,TC,GD,5,10,0.983022,0.539406,0.194917,8,4,49,49,54,800
26339,TC,GD,7,5,0.835561,0.530159,0.177531,15,3,34,34,54,2260
26340,TC,GD,5,5,0.84898,0.446973,0.266859,6,2,144,144,54,1455
26341,TC,GD,5,10,0.923427,0.528461,0.146075,8,3,11,0,60,70
26342,TC,GD,5,10,0.817322,0.47435,0.225331,6,4,104,104,54,690
26343,TC,GD,7,20,0.883165,0.6237,0.114523,7,2,14,0,60,260
26344,TC,GD,7,10,0.841202,0.592526,0.290303,12,4,274,274,54,1820
26345,TC,GD,7,5,0.849361,0.514986,0.280588,6,3,296,296,54,940
26346,TC,GD,7,15,0.932921,0.679968,0.188783,6,3,37,0,71,300
26347,TC,GD,3,20,0.831089,0.547202,0.136022,13,3,15,0,61,200
26348,TC,GD,7,20,0.845174,0.6758,0.257979,2,3,155,155,54,720
26349,TC,GD,7,15,0.973766,0.65375,0.171754,2,4,30,30,54,120
26350,TC,GD,5,15,0.941528,0.608734,0.219005,3,4,72,72,54,270
26351,TC,GD,5,10,0.949011,0.489586,0.120487,2,3,6,6,54,50
26352,TC,GD,7,15,0.933942,0.622587,0.29762,8,4,275,275,54,1680
26353,TC,GD,7,15,0.890184,0.560957,0.179918,11,3,44,0,84,2970
26354,TC,GD,7,15,0.922503,0.477813,0.292752,4,2,216,0,67,1425
26355,TC,GD,7,15,0.958353,0.662726,0.294663,9,3,209,0,72,1035
26356,TC,GD,5,10,0.981971,0.675522,0.213095,6,3,48,48,54,780
26357,TC,GD,7,5,0.849067,0.405446,0.287676,3,2,191,191,54,530
26358,TC,GD,7,15,0.882941,0.403107,0.14697,11,2,28,0,66,330
26359,TC,GD,5,5,0.86408,0.597772,0.225798,1,4,119,119,54,50
26360,TC,GD,7,10,0.854461,0.473704,0.14834,3,3,13,0,60,80
26361,TC,GD,5,5,0.822642,0.576073,0.135187,3,3,8,8,54,65
26362,TC,GD,7,15,0.886204,0.555543,0.153252,14,4,9,0,70,135
26363,TC,GD,3,15,0.802901,0.659748,0.196946,5,3,52,41,56,450
26364,TC,GD,5,10,0.821841,0.643242,0.281963,7,2,165,57,64,1320
26365,TC,GD,7,5,0.833884,0.589231,0.202493,15,2,46,0,69,330
26366,TC,GD,7,10,0.852452,0.564894,0.284073,8,3,223,223,54,2390
26367,TC,GD,5,5,0.87596,0.405683,0.10112,14,3,5,5,54,1585
26368,TC,GD,5,15,0.808572,0.546975,0.175803,9,4,29,29,54,1515
26369,TC,GD,3,15,0.82754,0.512221,0.168141,14,4,26,26,54,2025
26370,TC,GD,7,5,0.807861,0.516655,0.246572,12,2,122,0,91,2875
26371,TC,GD,5,20,0.876996,0.611846,0.198176,12,2,79,0,68,760
26372,TC,GD,5,20,0.86496,0.675874,0.104203,8,2,4,0,57,60
26373,TC,GD,5,15,0.929653,0.63319,0.164308,15,3,26,0,83,1680
26374,TC,GD,5,10,0.94443,0.487671,0.195485,10,2,37,0,64,360
26375,TC,GD,5,5,0.955022,0.624596,0.12131,5,2,6,0,62,65
26376,TC,GD,5,5,0.872809,0.614381,0.274908,14,3,264,264,54,2380
26377,TC,GD,7,20,0.878833,0.584101,0.219085,9,4,63,63,54,1180
26378,TC,GD,3,10,0.879051,0.645611,0.251555,9,4,132,132,54,1140
26379,TC,GD,5,15,0.836138,0.635715,0.167477,8,2,42,0,66,540
26380,TC,GD,7,10,0.905941,0.67648,0.1448,12,2,13,0,59,160
26381,TC,GD,7,10,0.816811,0.569538,0.169724,3,3,23,23,54,130
26382,TC,GD,5,5,0.915739,0.436373,0.190908,8,4,51,51,54,455
26383,TC,GD,7,5,0.909119,0.588737,0.158126,14,3,20,0,61,85
26384,TC,GD,5,15,0.921103,0.684342,0.213243,8,3,58,0,60,405
26385,TC,GD,5,10,0.853017,0.432053,0.2058,13,4,27,27,54,1520
26386,TC,GD,3,5,0.861957,0.400306,0.1827,13,4,34,34,54,785
26387,TC,GD,3,15,0.911754,0.627808,0.167655,2,2,45,45,54,330
26388,TC,GD,5,15,0.850255,0.463254,0.170292,12,4,25,25,54,1845
26389,TC,GD,7,10,0.91699,0.461906,0.200661,14,2,54,0,71,470
26390,TC,GD,7,5,0.91539,0.563258,0.197199,11,2,35,0,74,280
26391,TC,GD,7,20,0.907013,0.61364,0.100776,7,3,5,0,58,80
26392,TC,GD,7,20,0.851611,0.545732,0.159618,14,3,16,0,57,280
26393,TC,GD,7,10,0.898504,0.591862,0.17134,3,2,31,0,62,280
26394,TC,GD,7,5,0.854553,0.495053,0.268316,6,2,168,0,71,960
26395,TC,GD,3,20,0.902889,0.699205,0.206458,2,2,110,0,65,760
26396,TC,GD,5,20,0.874802,0.5028,0.2029,14,4,55,55,54,2400
26397,TC,GD,5,15,0.915371,0.5083,0.157822,14,4,16,16,54,2505
26398,TC,GD,7,5,0.833845,0.696337,0.207701,9,2,47,0,64,275
26399,TC,GD,7,20,0.980093,0.628712,0.199715,1,2,104,0,63,840
26400,TC,GD,3,5,0.84294,0.677636,0.233698,11,4,130,130,54,735
26401,TC,GD,5,20,0.8178,0.427396,0.10941,10,2,14,0,63,280
26402,TC,GD,3,15,0.905981,0.678582,0.250204,5,3,182,182,54,1215
26403,TC,GD,3,5,0.970559,0.555456,0.136147,6,2,2,0,59,60
26404,TC,GD,5,10,0.843552,0.687192,0.192762,12,3,46,0,89,1940
26405,TC,GD,7,10,0.9689,0.426081,0.23639,14,3,124,0,88,2880
