run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
6131,BR,ND,5,15,0.963549,0.445288,0.266115,2,2,427,306,60,1920
6132,BR,ND,5,5,0.812656,0.429678,0.249497,11,3,217,217,54,1980
6133,BR,ND,7,15,0.837985,0.483419,0.259149,12,3,284,0,85,6480
6134,BR,ND,5,20,0.845386,0.417646,0.141254,13,3,69,0,88,9360
6135,BR,ND,3,5,0.956098,0.682937,0.125548,14,3,16,0,88,2520
6136,BR,ND,7,5,0.934299,0.4137,0.202354,9,3,114,0,78,1620
6137,BR,ND,3,15,0.887577,0.515023,0.126313,2,2,62,0,68,1920
6138,BR,ND,3,10,0.983907,0.570879,0.142518,9,3,32,0,80,3240
6139,BR,ND,5,20,0.936985,0.597548,0.289122,9,3,429,0,82,6480
6140,BR,ND,7,15,0.814353,0.549283,0.189927,14,3,107,0,90,7560
6141,BR,ND,5,5,0.804533,0.565639,0.280502,4,2,382,382,54,1280
6142,BR,ND,5,15,0.976985,0.624123,0.200139,8,4,114,114,54,1920
6143,BR,ND,7,5,0.98359,0.621262,0.136427,12,4,25,0,84,960
6144,BR,ND,5,20,0.973708,0.63643,0.186627,7,4,68,0,75,2240
6145,BR,ND,5,5,0.937659,0.550349,0.285647,14,4,418,418,54,1120
6146,BR,ND,7,10,0.831377,0.648726,0.29245,13,4,371,371,54,2080
6147,BR,ND,7,5,0.951138,0.551762,0.180917,11,2,112,0,82,3520
6148,BR,ND,7,10,0.969223,0.432886,0.110679,4,4,14,0,71,640
6149,BR,ND,5,15,0.899386,0.693011,0.214373,7,2,201,0,76,6720
6150,BR,ND,7,10,0.961592,0.637784,0.222187,14,3,191,0,89,5040
6151,BR,ND,7,10,0.928537,0.578334,0.250861,1,4,283,283,54,160
6152,BR,ND,3,10,0.852759,0.426233,0.206624,10,3,142,142,54,3600
6153,BR,ND,5,5,0.903917,0.4593,0.172178,13,3,75,0,88,2340
6154,BR,ND,3,10,0.976028,0.493928,0.152014,4,2,76,0,70,2560
6155,BR,ND,7,5,0.982371,0.611925,0.294059,7,2,423,0,82,2240
6156,BR,ND,3,5,0.801581,0.49253,0.294972,10,3,427,427,54,1800
6157,BR,ND,3,5,0.915462,0.403142,0.296227,14,2,400,147,84,4480
6158,BR,ND,7,15,0.813061,0.428073,0.11085,2,4,22,0,67,480
6159,BR,ND,7,5,0.912298,0.479562,0.226585,15,4,154,154,54,1200
6160,BR,ND,7,20,0.882279,0.574155,0.128147,14,2,102,0,91,17920
6161,BR,ND,7,15,0.899454,0.403858,0.248597,11,4,246,0,83,2640
6162,BR,ND,5,10,0.810815,0.527912,0.121377,5,2,52,0,71,3200
6163,BR,ND,3,10,0.846075,0.424899,0.161547,7,3,64,0,75,2520
6164,BR,ND,7,5,0.923916,0.520389,0.135397,14,3,21,0,89,2520
6165,BR,ND,3,20,0.837973,0.635885,0.211483,12,4,149,149,54,3840
6166,BR,ND,7,10,0.997806,0.512777,0.234508,3,3,237,237,54,1080
6167,BR,ND,3,10,0.989403,0.646523,0.107618,8,2,35,0,77,5120
6168,BR,ND,7,5,0.97054,0.62991,0.242926,13,2,208,0,88,4160
6169,BR,ND,7,10,0.857764,0.595843,0.15831,1,3,52,0,71,360
6170,BR,ND,5,10,0.842513,0.528109,0.111169,14,3,25,0,91,5040
6171,BR,ND,5,20,0.937882,0.636594,0.100704,15,2,62,0,92,19200
6172,BR,ND,7,10,0.9932,0.670121,0.115753,13,4,11,0,87,2080
6173,BR,ND,7,10,0.928139,0.587832,0.19798,15,4,144,0,94,2400
6174,BR,ND,7,15,0.984211,0.589651,0.255181,5,2,278,0,74,4800
6175,BR,ND,7,20,0.985389,0.478938,0.19051,5,3,161,0,75,3600
6176,BR,ND,7,5,0.828951,0.653867,0.241078,6,4,159,159,54,480
6177,BR,ND,7,20,0.846311,0.669013,0.127153,13,3,54,0,88,9360
6178,BR,ND,3,5,0.880729,0.619526,0.151174,14,2,27,0,88,4480
6179,BR,ND,3,5,0.892918,0.653248,0.258241,11,3,247,247,54,1980
6180,BR,ND,7,5,0.927268,0.432294,0.22245,11,3,148,0,83,1980
6181,BR,ND,7,15,0.837638,0.573067,0.296929,13,3,396,0,87,7020
6182,BR,ND,5,20,0.848113,0.569455,0.156165,6,4,55,0,75,1920
6183,BR,ND,5,10,0.930442,0.663261,0.241366,7,4,260,260,54,1120
6184,BR,ND,3,15,0.921209,0.440255,0.233574,6,3,199,109,70,3240
6185,BR,ND,5,10,0.868995,0.610291,0.265826,4,4,316,316,54,640
6186,BR,ND,7,5,0.986664,0.57299,0.259642,11,2,294,0,83,3520
6187,BR,ND,7,5,0.938213,0.551931,0.195948,10,3,75,0,82,1800
6188,BR,ND,7,5,0.936781,0.455539,0.125957,2,2,25,0,64,640
6189,BR,ND,5,5,0.911408,0.605641,0.28245,13,3,365,365,54,2340
6190,BR,ND,7,5,0.909107,0.683586,0.276017,11,4,335,335,54,880
6191,BR,ND,5,20,0.914354,0.433808,0.225247,11,4,222,222,54,3520
6192,BR,ND,5,20,0.839604,0.41035,0.109967,12,4,22,0,85,3840
6193,BR,ND,7,10,0.906824,0.483267,0.175657,12,2,106,0,88,7680
6194,BR,ND,3,10,0.855184,0.484111,0.265813,1,4,361,361,54,160
6195,BR,ND,7,5,0.861459,0.484882,0.221734,1,3,142,142,54,180
6196,BR,ND,5,15,0.913347,0.468098,0.181866,9,3,121,0,81,4860
6197,BR,ND,5,20,0.893204,0.659526,0.113607,3,4,19,0,70,960
6198,BR,ND,7,5,0.869512,0.514279,0.125736,8,4,10,0,74,640
6199,BR,ND,5,15,0.912666,0.654101,0.245949,6,2,264,0,75,5760
6200,BR,ND,7,15,0.911593,0.621221,0.173787,11,2,115,0,85,10560
6201,BR,ND,7,15,0.856951,0.477563,0.189855,6,3,114,0,73,3240
6202,BR,ND,7,5,0.87046,0.575031,0.211912,3,3,157,157,54,540
